Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
1272.555: [GC (Allocation Failure) [PSYoungGen: 1557824K->5039K(1563648K)] 1653499K->100849K(2087936K), 0.0104405 secs] [Times: user=0.23 sys=0.00, real=0.01 secs] 
1298.905: [GC (Allocation Failure) [PSYoungGen: 1558959K->4896K(1563136K)] 1654769K->101249K(2087424K), 0.0068203 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
1325.220: [GC (Allocation Failure) [PSYoungGen: 1558816K->4928K(1563648K)] 1655169K->101433K(2087936K), 0.0086261 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1348.279: [GC (Allocation Failure) [PSYoungGen: 1559360K->4943K(1563648K)] 1655865K->101528K(2087936K), 0.0096857 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1370.327: [GC (Allocation Failure) [PSYoungGen: 1559375K->4928K(1564160K)] 1655960K->102136K(2088448K), 0.0067727 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1392.334: [GC (Allocation Failure) [PSYoungGen: 1560384K->4960K(1564160K)] 1657592K->102256K(2088448K), 0.0061148 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
1411.803: [GC (Allocation Failure) [PSYoungGen: 1560416K->5263K(1564672K)] 1657712K->102671K(2088960K), 0.0078748 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1430.750: [GC (Allocation Failure) [PSYoungGen: 1561231K->4960K(1564160K)] 1658639K->102991K(2088448K), 0.0068678 secs] [Times: user=0.11 sys=0.01, real=0.01 secs] 
1449.720: [GC (Allocation Failure) [PSYoungGen: 1560928K->4864K(1565184K)] 1658959K->102983K(2089472K), 0.0074228 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
1467.766: [GC (Allocation Failure) [PSYoungGen: 1561856K->5295K(1564672K)] 1659975K->103565K(2088960K), 0.0070863 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
1484.384: [GC (Allocation Failure) [PSYoungGen: 1562287K->4800K(1565184K)] 1660557K->103717K(2089472K), 0.0066939 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1501.016: [GC (Allocation Failure) [PSYoungGen: 1562304K->4800K(1565184K)] 1661221K->103749K(2089472K), 0.0069818 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
1517.618: [GC (Allocation Failure) [PSYoungGen: 1562304K->5120K(1565696K)] 1661253K->104197K(2089984K), 0.0064364 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1533.454: [GC (Allocation Failure) [PSYoungGen: 1563136K->5455K(1565184K)] 1662213K->104636K(2089472K), 0.0073001 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
1548.210: [GC (Allocation Failure) [PSYoungGen: 1563471K->4992K(1565696K)] 1662652K->104988K(2089984K), 0.0069556 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1563.005: [GC (Allocation Failure) [PSYoungGen: 1563520K->4992K(1565696K)] 1663516K->105084K(2089984K), 0.0055432 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1577.799: [GC (Allocation Failure) [PSYoungGen: 1563520K->5088K(1566208K)] 1663612K->105284K(2090496K), 0.0067501 secs] [Times: user=0.10 sys=0.01, real=0.00 secs] 
1592.534: [GC (Allocation Failure) [PSYoungGen: 1564128K->5583K(1565696K)] 1664324K->105922K(2089984K), 0.0089188 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1605.841: [GC (Allocation Failure) [PSYoungGen: 1564623K->5152K(1566208K)] 1664962K->106306K(2090496K), 0.0070719 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1619.210: [GC (Allocation Failure) [PSYoungGen: 1564704K->5152K(1566208K)] 1665858K->106362K(2090496K), 0.0067696 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1632.535: [GC (Allocation Failure) [PSYoungGen: 1564704K->5216K(1566208K)] 1665914K->106538K(2090496K), 0.0073654 secs] [Times: user=0.12 sys=0.01, real=0.01 secs] 
1645.865: [GC (Allocation Failure) [PSYoungGen: 1564768K->5056K(1566208K)] 1666090K->106474K(2090496K), 0.0052401 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1658.931: [GC (Allocation Failure) [PSYoungGen: 1564608K->5551K(1566208K)] 1666026K->107097K(2090496K), 0.0073219 secs] [Times: user=0.14 sys=0.00, real=0.00 secs] 
