Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
508.968: [GC (Allocation Failure) [PSYoungGen: 22172784K->1060594K(22609920K)] 22409685K->1297494K(25755648K), 0.1588327 secs] [Times: user=5.56 sys=0.00, real=0.16 secs] 
512.120: [GC (Allocation Failure) [PSYoungGen: 22163186K->1036150K(22609920K)] 22400086K->1273051K(25755648K), 0.1535666 secs] [Times: user=5.42 sys=0.00, real=0.15 secs] 
515.246: [GC (Allocation Failure) [PSYoungGen: 22138742K->1006302K(22609920K)] 22375643K->1243203K(25755648K), 0.1493982 secs] [Times: user=5.26 sys=0.00, real=0.15 secs] 
518.304: [GC (Allocation Failure) [PSYoungGen: 22108894K->651685K(22609920K)] 22345795K->1247539K(25755648K), 0.1538389 secs] [Times: user=5.43 sys=0.01, real=0.15 secs] 
521.398: [GC (Allocation Failure) [PSYoungGen: 21754277K->669413K(22609920K)] 22350131K->1267115K(25755648K), 0.1193607 secs] [Times: user=4.20 sys=0.00, real=0.12 secs] 
524.518: [GC (Allocation Failure) [PSYoungGen: 21772005K->711871K(22609920K)] 22369707K->1310789K(25755648K), 0.1254758 secs] [Times: user=4.42 sys=0.01, real=0.13 secs] 
527.570: [GC (Allocation Failure) [PSYoungGen: 21814463K->743531K(22609920K)] 22413381K->1343562K(25755648K), 0.1307250 secs] [Times: user=4.62 sys=0.00, real=0.13 secs] 
530.680: [GC (Allocation Failure) [PSYoungGen: 21846123K->765441K(22609920K)] 22446154K->1367080K(25755648K), 0.1372567 secs] [Times: user=4.86 sys=0.00, real=0.14 secs] 
533.830: [GC (Allocation Failure) [PSYoungGen: 21868033K->791878K(22609920K)] 22469672K->1394541K(25755648K), 0.1411055 secs] [Times: user=4.93 sys=0.00, real=0.15 secs] 
536.975: [GC (Allocation Failure) [PSYoungGen: 21894470K->808295K(22609920K)] 22497133K->1411974K(25755648K), 0.1433448 secs] [Times: user=5.06 sys=0.00, real=0.14 secs] 
540.166: [GC (Allocation Failure) [PSYoungGen: 21910887K->748524K(22609920K)] 22514566K->1353267K(25755648K), 0.1363154 secs] [Times: user=4.67 sys=0.01, real=0.14 secs] 
543.187: [GC (Allocation Failure) [PSYoungGen: 21851116K->746420K(22609920K)] 22455859K->1351924K(25755648K), 0.1322506 secs] [Times: user=4.63 sys=0.00, real=0.13 secs] 
546.252: [GC (Allocation Failure) [PSYoungGen: 21849012K->863977K(22609920K)] 22454516K->1470184K(25755648K), 0.1497015 secs] [Times: user=5.27 sys=0.00, real=0.15 secs] 
549.330: [GC (Allocation Failure) [PSYoungGen: 21966569K->694953K(22609920K)] 22572776K->1301849K(25755648K), 0.1244062 secs] [Times: user=4.39 sys=0.00, real=0.13 secs] 
552.420: [GC (Allocation Failure) [PSYoungGen: 21797545K->690244K(22609920K)] 22404441K->1298163K(25755648K), 0.1237251 secs] [Times: user=4.35 sys=0.00, real=0.12 secs] 
555.475: [GC (Allocation Failure) [PSYoungGen: 21792836K->720815K(22609920K)] 22400755K->1329590K(25755648K), 0.1288622 secs] [Times: user=4.55 sys=0.00, real=0.13 secs] 
