Java HotSpot(TM) 64-Bit Server VM (25.20-b20) for linux-amd64 JRE (1.8.0_20-ea-b20), built on Jun 24 2014 21:14:09 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
1932.353: [GC (Allocation Failure) [PSYoungGen: 1565984K->5312K(1566720K)] 1674105K->113569K(2091008K), 0.0073707 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1942.377: [GC (Allocation Failure) [PSYoungGen: 1565888K->5504K(1566720K)] 1674145K->113905K(2091008K), 0.0061555 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1952.435: [GC (Allocation Failure) [PSYoungGen: 1566080K->5568K(1566720K)] 1674481K->114017K(2091008K), 0.0062224 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1962.492: [GC (Allocation Failure) [PSYoungGen: 1566144K->6031K(1566720K)] 1674593K->114544K(2091008K), 0.0079549 secs] [Times: user=0.16 sys=0.01, real=0.00 secs] 
1972.574: [GC (Allocation Failure) [PSYoungGen: 1566607K->5377K(1566720K)] 1675120K->114824K(2091008K), 0.0076436 secs] [Times: user=0.10 sys=0.00, real=0.00 secs] 
1982.655: [GC (Allocation Failure) [PSYoungGen: 1565953K->6113K(1566720K)] 1675400K->116416K(2091008K), 0.0068773 secs] [Times: user=0.14 sys=0.00, real=0.00 secs] 
1992.754: [GC (Allocation Failure) [PSYoungGen: 1566689K->6113K(1564672K)] 1676992K->117128K(2088960K), 0.0061277 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
2002.817: [GC (Allocation Failure) [PSYoungGen: 1564641K->6689K(1565696K)] 1675656K->117912K(2089984K), 0.0082643 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
2012.892: [GC (Allocation Failure) [PSYoungGen: 1565217K->6721K(1564672K)] 1676440K->118032K(2088960K), 0.0067049 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
2023.046: [GC (Allocation Failure) [PSYoungGen: 1564225K->6817K(1565184K)] 1675536K->118208K(2089472K), 0.0050273 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
2033.083: [GC (Allocation Failure) [PSYoungGen: 1564321K->7183K(1564160K)] 1675712K->118679K(2088448K), 0.0084247 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
2043.096: [GC (Allocation Failure) [PSYoungGen: 1563663K->6465K(1564672K)] 1675159K->118839K(2088960K), 0.0044593 secs] [Times: user=0.06 sys=0.01, real=0.00 secs] 
2053.109: [GC (Allocation Failure) [PSYoungGen: 1562945K->6433K(1564672K)] 1675319K->118951K(2088960K), 0.0073815 secs] [Times: user=0.11 sys=0.01, real=0.01 secs] 
2063.105: [GC (Allocation Failure) [PSYoungGen: 1562913K->6049K(1564672K)] 1675431K->118607K(2088960K), 0.0065669 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2073.139: [GC (Allocation Failure) [PSYoungGen: 1562529K->6689K(1565184K)] 1675087K->119511K(2089472K), 0.0080986 secs] [Times: user=0.11 sys=0.02, real=0.01 secs] 
