Java HotSpot(TM) 64-Bit Server VM (25.20-b20) for linux-amd64 JRE (1.8.0_20-ea-b20), built on Jun 24 2014 21:14:09 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
587.318: [GC (Allocation Failure) [PSYoungGen: 21822170K->737524K(22609920K)] 22426194K->1342620K(25755648K), 0.1319775 secs] [Times: user=4.63 sys=0.00, real=0.13 secs] 
590.421: [GC (Allocation Failure) [PSYoungGen: 21840116K->721092K(22609920K)] 22445212K->1327228K(25755648K), 0.1305612 secs] [Times: user=4.47 sys=0.00, real=0.13 secs] 
593.484: [GC (Allocation Failure) [PSYoungGen: 21823684K->817108K(22609920K)] 22429820K->1424236K(25755648K), 0.1438198 secs] [Times: user=5.08 sys=0.00, real=0.15 secs] 
596.651: [GC (Allocation Failure) [PSYoungGen: 21919700K->769905K(22609920K)] 22526828K->1378033K(25755648K), 0.1368818 secs] [Times: user=4.84 sys=0.00, real=0.14 secs] 
599.782: [GC (Allocation Failure) [PSYoungGen: 21872497K->766328K(22609920K)] 22480625K->1375376K(25755648K), 0.1352005 secs] [Times: user=4.77 sys=0.00, real=0.14 secs] 
602.906: [GC (Allocation Failure) [PSYoungGen: 21868920K->702495K(22609920K)] 22477968K->1312479K(25755648K), 0.1254912 secs] [Times: user=4.42 sys=0.01, real=0.12 secs] 
606.032: [GC (Allocation Failure) [PSYoungGen: 21805087K->737586K(22609920K)] 22415071K->1348641K(25755648K), 0.1308504 secs] [Times: user=4.62 sys=0.00, real=0.13 secs] 
609.216: [GC (Allocation Failure) [PSYoungGen: 21840178K->705545K(22609920K)] 22451233K->1317465K(25755648K), 0.1297702 secs] [Times: user=4.44 sys=0.00, real=0.13 secs] 
612.321: [GC (Allocation Failure) [PSYoungGen: 21808137K->744718K(22609920K)] 22420057K->1357502K(25755648K), 0.1320481 secs] [Times: user=4.66 sys=0.00, real=0.13 secs] 
615.500: [GC (Allocation Failure) [PSYoungGen: 21847310K->753390K(22609920K)] 22460094K->1367078K(25755648K), 0.1330566 secs] [Times: user=4.70 sys=0.00, real=0.13 secs] 
618.622: [GC (Allocation Failure) [PSYoungGen: 21855982K->784175K(22609920K)] 22469670K->1398655K(25755648K), 0.1383455 secs] [Times: user=4.90 sys=0.00, real=0.14 secs] 
621.811: [GC (Allocation Failure) [PSYoungGen: 21886767K->761545K(22609920K)] 22501247K->1376809K(25755648K), 0.1349921 secs] [Times: user=4.77 sys=0.00, real=0.13 secs] 
624.986: [GC (Allocation Failure) [PSYoungGen: 21864137K->787983K(22609920K)] 22479401K->1403983K(25755648K), 0.1390609 secs] [Times: user=4.88 sys=0.00, real=0.14 secs] 
628.152: [GC (Allocation Failure) [PSYoungGen: 21890575K->744611K(22609920K)] 22506575K->1361387K(25755648K), 0.1321482 secs] [Times: user=4.68 sys=0.00, real=0.13 secs] 
631.266: [GC (Allocation Failure) [PSYoungGen: 21847203K->761089K(22609920K)] 22463979K->1378633K(25755648K), 0.1345744 secs] [Times: user=4.76 sys=0.00, real=0.14 secs] 
634.418: [GC (Allocation Failure) [PSYoungGen: 21863681K->744325K(22609920K)] 22481225K->1362661K(25755648K), 0.1350716 secs] [Times: user=4.65 sys=0.00, real=0.14 secs] 
637.543: [GC (Allocation Failure) [PSYoungGen: 21846917K->740836K(22609920K)] 22465253K->1359932K(25755648K), 0.1318063 secs] [Times: user=4.65 sys=0.01, real=0.13 secs] 
639.718: [GC (System.gc()) [PSYoungGen: 12292517K->648084K(22609920K)] 12911614K->1267932K(25755648K), 0.1203391 secs] [Times: user=4.15 sys=0.01, real=0.12 secs] 
639.839: [Full GC (System.gc()) [PSYoungGen: 648084K->0K(22609920K)] [ParOldGen: 619848K->230728K(3145728K)] 1267932K->230728K(25755648K), [Metaspace: 22139K->22139K(1069056K)], 0.1344333 secs] [Times: user=2.94 sys=0.01, real=0.14 secs] 
660.331: [GC (Allocation Failure) [PSYoungGen: 21102592K->953679K(22609920K)] 21333320K->1184415K(25755648K), 0.1526187 secs] [Times: user=5.32 sys=0.00, real=0.15 secs] 
667.306: [GC (Allocation Failure) [PSYoungGen: 22056271K->954111K(22609920K)] 22287007K->1184847K(25755648K), 0.1435083 secs] [Times: user=4.97 sys=0.00, real=0.14 secs] 
672.714: [GC (Allocation Failure) [PSYoungGen: 22056703K->956054K(22609920K)] 22287439K->1186790K(25755648K), 0.1421301 secs] [Times: user=5.01 sys=0.01, real=0.14 secs] 
677.430: [GC (Allocation Failure) [PSYoungGen: 22058646K->1006854K(22609920K)] 22289382K->1237591K(25755648K), 0.1494576 secs] [Times: user=5.24 sys=0.00, real=0.15 secs] 
681.388: [GC (Allocation Failure) [PSYoungGen: 22109446K->1032607K(22609920K)] 22340183K->1263344K(25755648K), 0.1522170 secs] [Times: user=5.38 sys=0.00, real=0.15 secs] 
685.127: [GC (Allocation Failure) [PSYoungGen: 22135199K->999541K(22609920K)] 22365936K->1230278K(25755648K), 0.1489104 secs] [Times: user=5.25 sys=0.00, real=0.15 secs] 
688.575: [GC (Allocation Failure) [PSYoungGen: 22102133K->1054652K(22609920K)] 22332870K->1285388K(25755648K), 0.1558848 secs] [Times: user=5.52 sys=0.00, real=0.16 secs] 
691.900: [GC (Allocation Failure) [PSYoungGen: 22157244K->1053505K(22609920K)] 22387980K->1284242K(25755648K), 0.1573557 secs] [Times: user=5.51 sys=0.00, real=0.15 secs] 
695.093: [GC (Allocation Failure) [PSYoungGen: 22156097K->992207K(22609920K)] 22386834K->1222944K(25755648K), 0.1469468 secs] [Times: user=5.18 sys=0.00, real=0.15 secs] 
698.273: [GC (Allocation Failure) [PSYoungGen: 22094799K->1017341K(22609920K)] 22325536K->1248078K(25755648K), 0.1506554 secs] [Times: user=5.31 sys=0.00, real=0.15 secs] 
701.339: [GC (Allocation Failure) [PSYoungGen: 22119933K->1153497K(22609920K)] 22350670K->1384234K(25755648K), 0.1731377 secs] [Times: user=6.11 sys=0.00, real=0.18 secs] 
704.525: [GC (Allocation Failure) [PSYoungGen: 22256089K->1093839K(22609920K)] 22486826K->1324576K(25755648K), 0.1630095 secs] [Times: user=5.77 sys=0.00, real=0.16 secs] 
707.626: [GC (Allocation Failure) [PSYoungGen: 22196431K->1113759K(22609920K)] 22427168K->1344495K(25755648K), 0.1657659 secs] [Times: user=5.88 sys=0.00, real=0.17 secs] 
710.838: [GC (Allocation Failure) [PSYoungGen: 22216351K->1167266K(22609920K)] 22447087K->1398003K(25755648K), 0.1770150 secs] [Times: user=6.20 sys=0.00, real=0.18 secs] 
714.075: [GC (Allocation Failure) [PSYoungGen: 22269858K->1078479K(22609920K)] 22500595K->1309216K(25755648K), 0.1597411 secs] [Times: user=5.66 sys=0.00, real=0.16 secs] 
717.303: [GC (Allocation Failure) [PSYoungGen: 22181071K->760019K(22609920K)] 22411808K->1348884K(25755648K), 0.1763184 secs] [Times: user=6.06 sys=0.00, real=0.18 secs] 
720.888: [GC (Allocation Failure) [PSYoungGen: 21862611K->733187K(22609920K)] 22451476K->1323813K(25755648K), 0.1305372 secs] [Times: user=4.63 sys=0.00, real=0.13 secs] 
721.195: [GC (System.gc()) [PSYoungGen: 1700219K->642100K(22609920K)] 2290845K->1233927K(25755648K), 0.1103621 secs] [Times: user=3.85 sys=0.00, real=0.11 secs] 
721.305: [Full GC (System.gc()) [PSYoungGen: 642100K->0K(22609920K)] [ParOldGen: 591826K->232844K(3145728K)] 1233927K->232844K(25755648K), [Metaspace: 22210K->22210K(1069056K)], 0.1583693 secs] [Times: user=3.76 sys=0.01, real=0.16 secs] 
727.536: [GC (System.gc()) [PSYoungGen: 3377296K->704K(22609920K)] 3610140K->233548K(25755648K), 0.0063802 secs] [Times: user=0.05 sys=0.01, real=0.00 secs] 
727.542: [Full GC (System.gc()) [PSYoungGen: 704K->0K(22609920K)] [ParOldGen: 232844K->227115K(3145728K)] 233548K->227115K(25755648K), [Metaspace: 22221K->22221K(1069056K)], 0.2072876 secs] [Times: user=5.20 sys=0.03, real=0.21 secs] 
752.137: [GC (Allocation Failure) [PSYoungGen: 21102592K->942814K(22609920K)] 21329707K->1169930K(25755648K), 0.1607486 secs] [Times: user=5.22 sys=0.00, real=0.16 secs] 
774.432: [GC (Allocation Failure) [PSYoungGen: 22045406K->918125K(22609920K)] 22272522K->1145240K(25755648K), 0.1385620 secs] [Times: user=4.79 sys=0.00, real=0.13 secs] 
796.576: [GC (Allocation Failure) [PSYoungGen: 22020717K->926374K(22609920K)] 22247832K->1153489K(25755648K), 0.1419083 secs] [Times: user=4.87 sys=0.00, real=0.14 secs] 
