Java HotSpot(TM) 64-Bit Server VM (25.60-b12) for linux-amd64 JRE (1.8.0_60-ea-b12), built on Apr 21 2015 19:53:00 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
410.676: [GC (Allocation Failure) [PSYoungGen: 26355694K->907259K(26355712K)] 28116821K->2799794K(29501440K), 0.1229046 secs] [Times: user=6.34 sys=0.00, real=0.12 secs] 
413.846: [GC (Allocation Failure) [PSYoungGen: 26355707K->907262K(26355712K)] 28248242K->2892029K(29501440K), 0.1204465 secs] [Times: user=6.18 sys=0.00, real=0.12 secs] 
416.857: [GC (Allocation Failure) [PSYoungGen: 26355710K->907234K(26355712K)] 28340477K->2967241K(29501440K), 0.1140594 secs] [Times: user=5.95 sys=0.01, real=0.11 secs] 
420.107: [GC (Allocation Failure) [PSYoungGen: 26355682K->907232K(26355712K)] 28415689K->3340994K(29501440K), 0.1677097 secs] [Times: user=8.82 sys=0.02, real=0.17 secs] 
422.865: [GC (Allocation Failure) [PSYoungGen: 26355680K->746120K(26355712K)] 28789442K->3188916K(29501440K), 0.1211258 secs] [Times: user=6.34 sys=0.01, real=0.12 secs] 
426.047: [GC (Allocation Failure) [PSYoungGen: 26194568K->768596K(26355712K)] 28637364K->3213408K(29501440K), 0.1253568 secs] [Times: user=6.29 sys=0.00, real=0.12 secs] 
429.146: [GC (Allocation Failure) [PSYoungGen: 26217044K->871483K(26355712K)] 28661856K->3320096K(29501440K), 0.1382228 secs] [Times: user=6.86 sys=0.01, real=0.14 secs] 
432.244: [GC (Allocation Failure) [PSYoungGen: 26319931K->841687K(26355712K)] 28768544K->3291676K(29501440K), 0.1327884 secs] [Times: user=6.66 sys=0.00, real=0.13 secs] 
435.321: [GC (Allocation Failure) [PSYoungGen: 26290135K->857980K(26355712K)] 28740124K->3309490K(29501440K), 0.1299871 secs] [Times: user=6.67 sys=0.01, real=0.13 secs] 
447.102: [GC (System.gc()) [PSYoungGen: 10708484K->907240K(26355712K)] 13159993K->3369293K(29501440K), 0.1193677 secs] [Times: user=5.59 sys=0.01, real=0.12 secs] 
447.222: [Full GC (System.gc()) [PSYoungGen: 907240K->0K(26355712K)] [ParOldGen: 2462053K->278512K(3145728K)] 3369293K->278512K(29501440K), [Metaspace: 22427K->22423K(1069056K)], 0.0939097 secs] [Times: user=1.62 sys=0.00, real=0.10 secs] 
469.273: [GC (Allocation Failure) [PSYoungGen: 25448448K->907252K(26355712K)] 25726960K->1231164K(29501440K), 0.0936608 secs] [Times: user=4.95 sys=0.00, real=0.09 secs] 
476.029: [GC (Allocation Failure) [PSYoungGen: 26355700K->907233K(26355712K)] 26679612K->1341434K(29501440K), 0.1056583 secs] [Times: user=5.21 sys=0.02, real=0.11 secs] 
481.478: [GC (GCLocker Initiated GC) [PSYoungGen: 26355681K->907245K(26355712K)] 26791555K->1386711K(29501440K), 0.0937346 secs] [Times: user=4.56 sys=0.01, real=0.09 secs] 
486.748: [GC (Allocation Failure) [PSYoungGen: 26355693K->896002K(26355712K)] 26835159K->1375468K(29501440K), 0.0841401 secs] [Times: user=3.72 sys=0.01, real=0.08 secs] 
490.720: [GC (Allocation Failure) [PSYoungGen: 26344450K->907260K(26355712K)] 26823916K->1502246K(29501440K), 0.1132653 secs] [Times: user=5.83 sys=0.02, real=0.12 secs] 
494.669: [GC (Allocation Failure) [PSYoungGen: 26355708K->907234K(26355712K)] 26950694K->1603652K(29501440K), 0.1049281 secs] [Times: user=5.44 sys=0.00, real=0.11 secs] 
498.319: [GC (Allocation Failure) [PSYoungGen: 26355682K->907238K(26355712K)] 27052100K->1683120K(29501440K), 0.1032789 secs] [Times: user=5.21 sys=0.01, real=0.11 secs] 
501.690: [GC (Allocation Failure) [PSYoungGen: 26355686K->907262K(26355712K)] 27131568K->1859808K(29501440K), 0.1279909 secs] [Times: user=6.59 sys=0.01, real=0.13 secs] 
504.802: [GC (Allocation Failure) [PSYoungGen: 26355710K->907249K(26355712K)] 27308256K->1984435K(29501440K), 0.1182868 secs] [Times: user=6.01 sys=0.00, real=0.12 secs] 
507.864: [GC (Allocation Failure) [PSYoungGen: 26355697K->907239K(26355712K)] 27432883K->2190929K(29501440K), 0.1397195 secs] [Times: user=7.13 sys=0.00, real=0.14 secs] 
510.945: [GC (Allocation Failure) [PSYoungGen: 26355687K->907238K(26355712K)] 27639377K->2501088K(29501440K), 0.1668547 secs] [Times: user=8.77 sys=0.00, real=0.16 secs] 
514.011: [GC (Allocation Failure) [PSYoungGen: 26355686K->907247K(26355712K)] 27949536K->2639689K(29501440K), 0.1288973 secs] [Times: user=6.62 sys=0.00, real=0.13 secs] 
517.090: [GC (Allocation Failure) [PSYoungGen: 26355695K->907239K(26355712K)] 28088137K->2825417K(29501440K), 0.1422559 secs] [Times: user=7.43 sys=0.00, real=0.15 secs] 
520.068: [GC (Allocation Failure) [PSYoungGen: 26355687K->907258K(26355712K)] 28273865K->3003060K(29501440K), 0.1391680 secs] [Times: user=7.30 sys=0.00, real=0.14 secs] 
523.114: [GC (Allocation Failure) [PSYoungGen: 26355706K->907239K(26355712K)] 28451508K->3190929K(29501440K), 0.1445251 secs] [Times: user=7.56 sys=0.01, real=0.14 secs] 
526.199: [GC (Allocation Failure) [PSYoungGen: 26355687K->857588K(26355712K)] 28639377K->3363067K(29501440K), 0.1342722 secs] [Times: user=6.92 sys=0.01, real=0.14 secs] 
529.285: [GC (Allocation Failure) [PSYoungGen: 26306036K->732658K(26355712K)] 28811515K->3244676K(29501440K), 0.0963662 secs] [Times: user=5.11 sys=0.00, real=0.09 secs] 
532.430: [GC (Allocation Failure) [PSYoungGen: 26181106K->907258K(26355712K)] 28693124K->3431940K(29501440K), 0.1173438 secs] [Times: user=5.86 sys=0.00, real=0.12 secs] 
535.510: [GC (Allocation Failure) [PSYoungGen: 26355706K->812566K(26355712K)] 28880388K->3340417K(29501440K), 0.1062391 secs] [Times: user=5.42 sys=0.00, real=0.11 secs] 
538.531: [GC (Allocation Failure) [PSYoungGen: 26261014K->859433K(26355712K)] 28788865K->3389372K(29501440K), 0.1146376 secs] [Times: user=5.61 sys=0.00, real=0.12 secs] 
541.534: [GC (Allocation Failure) [PSYoungGen: 26307881K->873877K(26355712K)] 28837820K->3405784K(29501440K), 0.1197419 secs] [Times: user=5.78 sys=0.00, real=0.12 secs] 
