Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
1677.281: [GC (Allocation Failure) [PSYoungGen: 1563873K->5537K(1566208K)] 1665333K->107157K(2090496K), 0.0065840 secs] [Times: user=0.14 sys=0.01, real=0.00 secs] 
1689.389: [GC (Allocation Failure) [PSYoungGen: 1565089K->5569K(1566208K)] 1666709K->107221K(2090496K), 0.0079940 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
1701.500: [GC (Allocation Failure) [PSYoungGen: 1565121K->5729K(1566208K)] 1666773K->107549K(2090496K), 0.0069264 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1712.960: [GC (Allocation Failure) [PSYoungGen: 1565281K->6319K(1566208K)] 1667101K->108251K(2090496K), 0.0067422 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1724.103: [GC (Allocation Failure) [PSYoungGen: 1565871K->5409K(1566208K)] 1667803K->108283K(2090496K), 0.0066300 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1735.241: [GC (Allocation Failure) [PSYoungGen: 1564961K->5633K(1566208K)] 1667835K->108611K(2090496K), 0.0066905 secs] [Times: user=0.14 sys=0.00, real=0.00 secs] 
1746.402: [GC (Allocation Failure) [PSYoungGen: 1565185K->5697K(1566208K)] 1668163K->108779K(2090496K), 0.0075122 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
1757.507: [GC (Allocation Failure) [PSYoungGen: 1565249K->5633K(1566208K)] 1668331K->108835K(2090496K), 0.0077923 secs] [Times: user=0.14 sys=0.01, real=0.01 secs] 
1768.647: [GC (Allocation Failure) [PSYoungGen: 1565185K->5697K(1566208K)] 1668387K->109043K(2090496K), 0.0075434 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1779.080: [GC (Allocation Failure) [PSYoungGen: 1565249K->6319K(1566208K)] 1668595K->109770K(2090496K), 0.0070034 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1789.339: [GC (Allocation Failure) [PSYoungGen: 1565871K->5665K(1566208K)] 1669322K->110058K(2090496K), 0.0063732 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
1799.598: [GC (Allocation Failure) [PSYoungGen: 1565217K->5633K(1566208K)] 1669610K->110250K(2090496K), 0.0067756 secs] [Times: user=0.14 sys=0.01, real=0.01 secs] 
1809.850: [GC (Allocation Failure) [PSYoungGen: 1565185K->5729K(1566208K)] 1669802K->110434K(2090496K), 0.0065552 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1820.150: [GC (Allocation Failure) [PSYoungGen: 1565281K->5665K(1566208K)] 1669986K->110418K(2090496K), 0.0053824 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
1830.426: [GC (Allocation Failure) [PSYoungGen: 1565217K->5697K(1566208K)] 1669970K->110602K(2090496K), 0.0085659 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
1840.568: [GC (Allocation Failure) [PSYoungGen: 1565249K->6415K(1566208K)] 1670154K->111425K(2090496K), 0.0086717 secs] [Times: user=0.18 sys=0.01, real=0.01 secs] 
1850.669: [GC (Allocation Failure) [PSYoungGen: 1565967K->5601K(1566208K)] 1670977K->111505K(2090496K), 0.0066753 secs] [Times: user=0.07 sys=0.01, real=0.00 secs] 
