Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
418.671: [GC (Allocation Failure) [PSYoungGen: 21832261K->752139K(22609920K)] 22303615K->1226934K(25755648K), 0.1322275 secs] [Times: user=4.68 sys=0.00, real=0.14 secs] 
421.844: [GC (Allocation Failure) [PSYoungGen: 21854731K->675381K(22609920K)] 22329526K->1151527K(25755648K), 0.1192857 secs] [Times: user=4.22 sys=0.00, real=0.12 secs] 
424.891: [GC (Allocation Failure) [PSYoungGen: 21777973K->694116K(22609920K)] 22254119K->1171343K(25755648K), 0.1233913 secs] [Times: user=4.35 sys=0.00, real=0.13 secs] 
436.415: [GC (System.gc()) [PSYoungGen: 18841089K->814778K(22609920K)] 19318315K->1293085K(25755648K), 0.1258020 secs] [Times: user=4.45 sys=0.00, real=0.12 secs] 
436.541: [Full GC (System.gc()) [PSYoungGen: 814778K->0K(22609920K)] [ParOldGen: 478306K->225696K(3145728K)] 1293085K->225696K(25755648K), [Metaspace: 22318K->22315K(1069056K)], 0.0747674 secs] [Times: user=1.04 sys=0.06, real=0.08 secs] 
457.463: [GC (Allocation Failure) [PSYoungGen: 21102592K->937022K(22609920K)] 21328288K->1162727K(25755648K), 0.1555801 secs] [Times: user=5.48 sys=0.01, real=0.16 secs] 
465.605: [GC (Allocation Failure) [PSYoungGen: 22039614K->952576K(22609920K)] 22265319K->1178280K(25755648K), 0.1429539 secs] [Times: user=5.00 sys=0.00, real=0.14 secs] 
471.367: [GC (Allocation Failure) [PSYoungGen: 22055168K->1014269K(22609920K)] 22280872K->1239974K(25755648K), 0.1529669 secs] [Times: user=5.41 sys=0.01, real=0.16 secs] 
476.073: [GC (Allocation Failure) [PSYoungGen: 22116861K->1039983K(22609920K)] 22342566K->1265688K(25755648K), 0.1580009 secs] [Times: user=5.52 sys=0.00, real=0.16 secs] 
480.292: [GC (Allocation Failure) [PSYoungGen: 22142575K->1052299K(22609920K)] 22368280K->1278004K(25755648K), 0.1588684 secs] [Times: user=5.58 sys=0.00, real=0.16 secs] 
484.078: [GC (Allocation Failure) [PSYoungGen: 22154891K->1037503K(22609920K)] 22380596K->1263208K(25755648K), 0.1550281 secs] [Times: user=5.48 sys=0.01, real=0.16 secs] 
487.644: [GC (Allocation Failure) [PSYoungGen: 22140095K->1017279K(22609920K)] 22365800K->1242984K(25755648K), 0.1527331 secs] [Times: user=5.34 sys=0.00, real=0.15 secs] 
490.933: [GC (Allocation Failure) [PSYoungGen: 22119871K->1108044K(22609920K)] 22345576K->1333749K(25755648K), 0.1675912 secs] [Times: user=5.91 sys=0.01, real=0.16 secs] 
494.137: [GC (Allocation Failure) [PSYoungGen: 22210636K->1064787K(22609920K)] 22436341K->1290492K(25755648K), 0.1611381 secs] [Times: user=5.70 sys=0.00, real=0.16 secs] 
497.323: [GC (Allocation Failure) [PSYoungGen: 22167379K->1129324K(22609920K)] 22393084K->1355029K(25755648K), 0.1711210 secs] [Times: user=6.06 sys=0.00, real=0.17 secs] 
500.499: [GC (Allocation Failure) [PSYoungGen: 22231916K->1166509K(22609920K)] 22457621K->1392214K(25755648K), 0.1789456 secs] [Times: user=6.30 sys=0.01, real=0.18 secs] 
503.678: [GC (Allocation Failure) [PSYoungGen: 22269101K->1110637K(22609920K)] 22494806K->1336342K(25755648K), 0.1670796 secs] [Times: user=5.92 sys=0.00, real=0.17 secs] 
506.791: [GC (Allocation Failure) [PSYoungGen: 22213229K->1109124K(22609920K)] 22438934K->1334829K(25755648K), 0.1698450 secs] [Times: user=6.01 sys=0.00, real=0.17 secs] 
509.926: [GC (Allocation Failure) [PSYoungGen: 22211716K->1134447K(22609920K)] 22437421K->1360152K(25755648K), 0.1718670 secs] [Times: user=6.09 sys=0.01, real=0.17 secs] 
513.081: [GC (Allocation Failure) [PSYoungGen: 22237039K->1120528K(22609920K)] 22462744K->1346233K(25755648K), 0.1720631 secs] [Times: user=5.98 sys=0.00, real=0.17 secs] 
516.191: [GC (Allocation Failure) [PSYoungGen: 22223120K->802144K(22609920K)] 22448825K->1386185K(25755648K), 0.1818726 secs] [Times: user=6.38 sys=0.00, real=0.18 secs] 
519.447: [GC (Allocation Failure) [PSYoungGen: 21904736K->786705K(22609920K)] 22488777K->1372338K(25755648K), 0.1397000 secs] [Times: user=4.91 sys=0.00, real=0.14 secs] 
522.445: [GC (Allocation Failure) [PSYoungGen: 21889297K->760908K(22609920K)] 22474930K->1347885K(25755648K), 0.1356666 secs] [Times: user=4.79 sys=0.00, real=0.14 secs] 
525.512: [GC (Allocation Failure) [PSYoungGen: 21863500K->928443K(22609920K)] 22450477K->1516292K(25755648K), 0.1614465 secs] [Times: user=5.65 sys=0.00, real=0.16 secs] 
528.621: [GC (Allocation Failure) [PSYoungGen: 22031035K->747193K(22609920K)] 22618884K->1336659K(25755648K), 0.1367390 secs] [Times: user=4.77 sys=0.00, real=0.13 secs] 
531.735: [GC (Allocation Failure) [PSYoungGen: 21849785K->733741K(22609920K)] 22439251K->1324039K(25755648K), 0.1329992 secs] [Times: user=4.67 sys=0.00, real=0.14 secs] 
534.813: [GC (Allocation Failure) [PSYoungGen: 21836333K->825618K(22609920K)] 22426631K->1416732K(25755648K), 0.1478339 secs] [Times: user=5.20 sys=0.00, real=0.15 secs] 
537.882: [GC (Allocation Failure) [PSYoungGen: 21928210K->779939K(22609920K)] 22519324K->1371781K(25755648K), 0.1415802 secs] [Times: user=4.97 sys=0.01, real=0.14 secs] 
541.022: [GC (Allocation Failure) [PSYoungGen: 21882531K->776781K(22609920K)] 22474373K->1369319K(25755648K), 0.1422665 secs] [Times: user=4.93 sys=0.00, real=0.14 secs] 
544.105: [GC (Allocation Failure) [PSYoungGen: 21879373K->784652K(22609920K)] 22471911K->1377934K(25755648K), 0.1416349 secs] [Times: user=5.01 sys=0.00, real=0.14 secs] 
547.226: [GC (Allocation Failure) [PSYoungGen: 21887244K->772246K(22609920K)] 22480526K->1366288K(25755648K), 0.1419062 secs] [Times: user=4.85 sys=0.00, real=0.14 secs] 
550.343: [GC (Allocation Failure) [PSYoungGen: 21874838K->810338K(22609920K)] 22468880K->1405052K(25755648K), 0.1467738 secs] [Times: user=5.12 sys=0.01, real=0.14 secs] 
553.479: [GC (Allocation Failure) [PSYoungGen: 21912930K->787196K(22609920K)] 22507644K->1382631K(25755648K), 0.1423241 secs] [Times: user=5.02 sys=0.00, real=0.15 secs] 
556.604: [GC (Allocation Failure) [PSYoungGen: 21889788K->739036K(22609920K)] 22485223K->1335398K(25755648K), 0.1358262 secs] [Times: user=4.79 sys=0.00, real=0.13 secs] 
559.705: [GC (Allocation Failure) [PSYoungGen: 21841628K->770395K(22609920K)] 22437990K->1367693K(25755648K), 0.1407621 secs] [Times: user=4.95 sys=0.00, real=0.14 secs] 
562.869: [GC (Allocation Failure) [PSYoungGen: 21872987K->757572K(22609920K)] 22470285K->1356086K(25755648K), 0.1395572 secs] [Times: user=4.90 sys=0.01, real=0.14 secs] 
565.934: [GC (Allocation Failure) [PSYoungGen: 21860164K->800322K(22609920K)] 22458678K->1400005K(25755648K), 0.1441576 secs] [Times: user=5.09 sys=0.00, real=0.14 secs] 
569.018: [GC (Allocation Failure) [PSYoungGen: 21902914K->781698K(22609920K)] 22502597K->1382476K(25755648K), 0.1430781 secs] [Times: user=4.99 sys=0.00, real=0.14 secs] 
572.142: [GC (Allocation Failure) [PSYoungGen: 21884290K->738576K(22609920K)] 22485068K->1340674K(25755648K), 0.1359163 secs] [Times: user=4.80 sys=0.01, real=0.14 secs] 
575.273: [GC (Allocation Failure) [PSYoungGen: 21841168K->715544K(22609920K)] 22443266K->1318723K(25755648K), 0.1318778 secs] [Times: user=4.65 sys=0.00, real=0.14 secs] 
578.289: [GC (Allocation Failure) [PSYoungGen: 21818136K->747464K(22609920K)] 22421315K->1351635K(25755648K), 0.1361679 secs] [Times: user=4.80 sys=0.01, real=0.14 secs] 
581.333: [GC (Allocation Failure) [PSYoungGen: 21850056K->813823K(22609920K)] 22454227K->1418945K(25755648K), 0.1485824 secs] [Times: user=5.22 sys=0.01, real=0.15 secs] 
584.427: [GC (Allocation Failure) [PSYoungGen: 21916415K->790355K(22609920K)] 22521537K->1396438K(25755648K), 0.1465572 secs] [Times: user=5.09 sys=0.01, real=0.14 secs] 
587.433: [GC (Allocation Failure) [PSYoungGen: 21892947K->875173K(22609920K)] 22499030K->1482192K(25755648K), 0.1575186 secs] [Times: user=5.55 sys=0.00, real=0.16 secs] 
590.513: [GC (Allocation Failure) [PSYoungGen: 21977765K->769802K(22609920K)] 22584784K->1377725K(25755648K), 0.1429085 secs] [Times: user=5.02 sys=0.00, real=0.14 secs] 
593.594: [GC (Allocation Failure) [PSYoungGen: 21872394K->733523K(22609920K)] 22480317K->1342310K(25755648K), 0.1347239 secs] [Times: user=4.71 sys=0.00, real=0.14 secs] 
596.648: [GC (Allocation Failure) [PSYoungGen: 21836115K->739620K(22609920K)] 22444902K->1349287K(25755648K), 0.1361673 secs] [Times: user=4.80 sys=0.00, real=0.14 secs] 
599.681: [GC (Allocation Failure) [PSYoungGen: 21842212K->757611K(22609920K)] 22451879K->1368094K(25755648K), 0.1384083 secs] [Times: user=4.89 sys=0.00, real=0.14 secs] 
602.721: [GC (Allocation Failure) [PSYoungGen: 21860203K->711958K(22609920K)] 22470686K->1323241K(25755648K), 0.1314547 secs] [Times: user=4.65 sys=0.00, real=0.13 secs] 
605.787: [GC (Allocation Failure) [PSYoungGen: 21814550K->713401K(22609920K)] 22425833K->1325428K(25755648K), 0.1302781 secs] [Times: user=4.60 sys=0.00, real=0.13 secs] 
608.785: [GC (Allocation Failure) [PSYoungGen: 21815993K->713659K(22609920K)] 22428020K->1326413K(25755648K), 0.1321596 secs] [Times: user=4.67 sys=0.00, real=0.13 secs] 
611.858: [GC (Allocation Failure) [PSYoungGen: 21816251K->742982K(22609920K)] 22429005K->1356465K(25755648K), 0.1401234 secs] [Times: user=4.76 sys=0.00, real=0.14 secs] 
614.906: [GC (Allocation Failure) [PSYoungGen: 21845574K->742943K(22609920K)] 22459057K->1357210K(25755648K), 0.1372765 secs] [Times: user=4.76 sys=0.00, real=0.14 secs] 
617.940: [GC (Allocation Failure) [PSYoungGen: 21845535K->816067K(22609920K)] 22459802K->1431086K(25755648K), 0.1479553 secs] [Times: user=5.18 sys=0.00, real=0.15 secs] 
621.045: [GC (Allocation Failure) [PSYoungGen: 21918659K->1012714K(22609920K)] 22533678K->1628429K(25755648K), 0.1756669 secs] [Times: user=6.23 sys=0.01, real=0.17 secs] 
624.119: [GC (Allocation Failure) [PSYoungGen: 22115306K->769072K(22609920K)] 22731021K->1385490K(25755648K), 0.1399594 secs] [Times: user=4.92 sys=0.00, real=0.14 secs] 
