Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
1848.619: [GC (Allocation Failure) [PSYoungGen: 1565185K->5345K(1566208K)] 1670617K->110817K(2090496K), 0.0178167 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
1858.766: [GC (Allocation Failure) [PSYoungGen: 1564897K->6255K(1565184K)] 1670369K->111839K(2089472K), 0.0060878 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1868.852: [GC (Allocation Failure) [PSYoungGen: 1564783K->5441K(1565696K)] 1670367K->111871K(2089984K), 0.0093181 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1878.971: [GC (Allocation Failure) [PSYoungGen: 1563969K->5793K(1566208K)] 1670399K->112479K(2090496K), 0.0070296 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
1889.061: [GC (Allocation Failure) [PSYoungGen: 1565345K->5857K(1566208K)] 1672031K->112671K(2090496K), 0.0077808 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1899.157: [GC (Allocation Failure) [PSYoungGen: 1565409K->5985K(1566208K)] 1672223K->112831K(2090496K), 0.0049674 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
1909.246: [GC (Allocation Failure) [PSYoungGen: 1565537K->5793K(1566208K)] 1672383K->112879K(2090496K), 0.0065586 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1919.257: [GC (Allocation Failure) [PSYoungGen: 1565345K->6543K(1565184K)] 1672431K->113814K(2089472K), 0.0080797 secs] [Times: user=0.20 sys=0.01, real=0.01 secs] 
1929.273: [GC (Allocation Failure) [PSYoungGen: 1565071K->5761K(1565696K)] 1672342K->113934K(2089984K), 0.0083762 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1939.288: [GC (Allocation Failure) [PSYoungGen: 1564289K->5921K(1566208K)] 1672462K->114222K(2090496K), 0.0069194 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1949.327: [GC (Allocation Failure) [PSYoungGen: 1565473K->5633K(1566208K)] 1673774K->114062K(2090496K), 0.0061319 secs] [Times: user=0.12 sys=0.00, real=0.00 secs] 
1959.385: [GC (Allocation Failure) [PSYoungGen: 1565185K->5921K(1566208K)] 1673614K->114398K(2090496K), 0.0083532 secs] [Times: user=0.17 sys=0.00, real=0.00 secs] 
1969.457: [GC (Allocation Failure) [PSYoungGen: 1565473K->5793K(1566208K)] 1673950K->114414K(2090496K), 0.0067131 secs] [Times: user=0.15 sys=0.00, real=0.00 secs] 
1979.514: [GC (Allocation Failure) [PSYoungGen: 1565345K->5889K(1566208K)] 1673966K->114646K(2090496K), 0.0077057 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
1989.574: [GC (Allocation Failure) [PSYoungGen: 1565441K->6287K(1566208K)] 1674198K->115101K(2090496K), 0.0096012 secs] [Times: user=0.21 sys=0.00, real=0.01 secs] 
1999.666: [GC (Allocation Failure) [PSYoungGen: 1565839K->4769K(1566208K)] 1674653K->114397K(2090496K), 0.0270307 secs] [Times: user=0.17 sys=0.00, real=0.03 secs] 
2009.711: [GC (Allocation Failure) [PSYoungGen: 1564321K->5921K(1566208K)] 1673949K->115613K(2090496K), 0.0061145 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2019.789: [GC (Allocation Failure) [PSYoungGen: 1565473K->5633K(1566208K)] 1675165K->115421K(2090496K), 0.0084341 secs] [Times: user=0.17 sys=0.01, real=0.01 secs] 
2029.869: [GC (Allocation Failure) [PSYoungGen: 1565185K->5857K(1566208K)] 1674973K->115781K(2090496K), 0.0069374 secs] [Times: user=0.15 sys=0.01, real=0.00 secs] 
2039.941: [GC (Allocation Failure) [PSYoungGen: 1565409K->5121K(1566208K)] 1675333K->115093K(2090496K), 0.0125268 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
2049.966: [GC (Allocation Failure) [PSYoungGen: 1564673K->6447K(1566208K)] 1674645K->116539K(2090496K), 0.0071476 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
2059.995: [GC (Allocation Failure) [PSYoungGen: 1565999K->5857K(1565184K)] 1676091K->116891K(2089472K), 0.0058033 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
2070.047: [GC (Allocation Failure) [PSYoungGen: 1564385K->5729K(1565696K)] 1675419K->116867K(2089984K), 0.0065290 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
2080.055: [GC (Allocation Failure) [PSYoungGen: 1564257K->5729K(1566208K)] 1675395K->117011K(2090496K), 0.0068697 secs] [Times: user=0.15 sys=0.00, real=0.00 secs] 
2090.071: [GC (Allocation Failure) [PSYoungGen: 1565281K->5825K(1566208K)] 1676563K->117299K(2090496K), 0.0094829 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
2100.105: [GC (Allocation Failure) [PSYoungGen: 1565377K->5665K(1566208K)] 1676851K->117267K(2090496K), 0.0079165 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
2110.238: [GC (Allocation Failure) [PSYoungGen: 1565217K->5921K(1566208K)] 1676819K->117619K(2090496K), 0.0065273 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
2120.113: [GC (Allocation Failure) [PSYoungGen: 1565473K->6607K(1566208K)] 1677171K->118402K(2090496K), 0.0094938 secs] [Times: user=0.22 sys=0.00, real=0.01 secs] 
2130.127: [GC (Allocation Failure) [PSYoungGen: 1566159K->5153K(1565184K)] 1677954K->117834K(2089472K), 0.0072024 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
2140.166: [GC (Allocation Failure) [PSYoungGen: 1564705K->5057K(1565696K)] 1677386K->117770K(2089984K), 0.0102334 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2150.152: [GC (Allocation Failure) [PSYoungGen: 1563585K->5921K(1565696K)] 1676298K->118722K(2089984K), 0.0086815 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
